srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Lakshadweep,2017-18,Oct - 2017,0.235529103,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Goa,2017-18,Oct - 2017,52.860520857,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Karnataka,2017-18,Oct - 2017,1003.676534039,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Uttar Pradesh,2017-18,Oct - 2017,1513.418243806,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Rajasthan,2017-18,Oct - 2017,641.200370076,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Bihar,2017-18,Oct - 2017,491.633240924,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Sikkim,2017-18,Oct - 2017,6.138237103,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Arunachal Pradesh,2017-18,Oct - 2017,13.96429066,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Chhattisgarh,2017-18,Oct - 2017,145.751945569,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Madhya Pradesh,2017-18,Oct - 2017,657.421259441,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Maharashtra,2017-18,Oct - 2017,1440.505756143,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Himachal Pradesh,2017-18,Sep - 2017,68.5992304,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Goa,2017-18,Sep - 2017,47.988922,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Andhra Pradesh,2017-18,Sep - 2017,528.0918297,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Telangana,2017-18,Sep - 2017,669.352234,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Andaman and Nicobar Islands,2017-18,Sep - 2017,5.4610824,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Puducherry,2017-18,Sep - 2017,24.9159212,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Tamil Nadu,2017-18,Sep - 2017,855.3551465,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Kerala,2017-18,Sep - 2017,763.457919,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Lakshadweep,2017-18,Sep - 2017,0.3019042,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Karnataka,2017-18,Sep - 2017,888.2144098,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Maharashtra,2017-18,Sep - 2017,1266.8928029,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Dadra and Nagar Haveli,2017-18,Sep - 2017,8.6486417,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Daman and Diu,2017-18,Sep - 2017,2.1074804,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Gujarat,2017-18,Sep - 2017,559.8575986,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Madhya Pradesh,2017-18,Sep - 2017,381.7556475,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Chhattisgarh,2017-18,Sep - 2017,131.0922189,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Odisha,2017-18,Sep - 2017,251.7972436,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Jharkhand,2017-18,Sep - 2017,69.6643136,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
West Bengal,2017-18,Sep - 2017,566.610223,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Assam,2017-18,Sep - 2017,166.1934243,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Meghalaya,2017-18,Sep - 2017,22.0538805,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Tripura,2017-18,Sep - 2017,23.5547817,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
