srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
ARUNACHAL PRADESH,2019-20,Apr - 2019,Inter State Inwards,2324,21904,384.884294219,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KARNATAKA,2019-20,Apr - 2019,Inter State Inwards,91888,1396675,47164.362624668,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GOA,2019-20,Apr - 2019,Inter State Inwards,6663,101655,3443.912999175,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
LAKSHADWEEP,2019-20,Apr - 2019,Inter State Inwards,34,346,21.649113193,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KERALA,2019-20,Apr - 2019,Inter State Inwards,48400,637756,15223.926153335,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TAMIL NADU,2019-20,Apr - 2019,Inter State Inwards,97295,1479422,58480.267406792,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUDUCHERRY,2019-20,Apr - 2019,Inter State Inwards,5341,95204,2290.304156025,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ANDAMAN AND NICOBAR,2019-20,Apr - 2019,Inter State Inwards,851,8228,202.828646517,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TELANGANA,2019-20,Apr - 2019,Inter State Inwards,50493,755841,25520.31226865,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ANDHRA PRADESH,2019-20,Apr - 2019,Inter State Inwards,60943,688686,26094.31518138,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
NAGALAND,2019-20,Apr - 2019,Inter State Inwards,2206,20771,448.313111058,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TELANGANA,2020-21,Apr - 2020,Inter State Inwards,10749,98747,8569.327308173,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ANDHRA PRADESH,2020-21,Apr - 2020,Inter State Inwards,13550,117763,8723.343637256,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
LADAKH,2020-21,Apr - 2020,Inter State Inwards,52,336,17.490698474,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
CHHATTISGARH,2020-21,Apr - 2020,Inter State Inwards,4591,54956,4474.31584291,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
JAMMU AND KASHMIR,2020-21,Apr - 2020,Intra State,1022,31352,877.333098658,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
HIMACHAL PRADESH,2020-21,Apr - 2020,Intra State,2899,51107,999.391831281,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
PUNJAB,2020-21,Apr - 2020,Intra State,11638,210607,4370.58505495,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
CHANDIGARH,2020-21,Apr - 2020,Intra State,348,3369,56.144607424,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
