srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Goa,2021-22,Aug-2021,GSTR-3,24263,12869,7241,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Delhi,2021-22,Aug-2021,GSTR-3,406853,293612,85866,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Meghalaya,2021-22,Aug-2021,GSTR-1,16675,3464,7392,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Madhya Pradesh,2021-22,Aug-2021,GSTR-1,187639,70382,103449,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Tamil Nadu,2021-22,Aug-2021,GSTR-1,833879,409846,368634,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Lakshadweep,2021-22,Aug-2021,GSTR-3,196,114,56,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Jammu and Kashmir,2021-22,Aug-2021,GSTR-3,59030,44923,15612,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Chhattisgarh,2021-22,Aug-2021,GSTR-1,74776,26804,39762,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Ladakh,2021-22,Aug-2021,GSTR-1,2205,486,1221,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Andhra Pradesh,2021-22,Aug-2021,GSTR-3,244806,167109,57412,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Kerala,2021-22,Aug-2021,GSTR-3,259512,178522,67639,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Arunachal Pradesh,2021-22,Aug-2021,GSTR-3,10162,4420,3171,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Telangana,2021-22,Aug-2021,GSTR-3,327345,199892,84408,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Andaman and Nicobar Islands,2021-22,Aug-2021,GSTR-1,3265,1059,1852,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Himachal Pradesh,2021-22,Aug-2021,GSTR-3,44492,32162,10719,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Karnataka,2021-22,Aug-2021,GSTR-1,609453,266037,290102,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Nagaland,2021-22,Aug-2021,GSTR-3,5920,3386,1689,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Ladakh,2021-22,Aug-2021,GSTR-3,2205,1269,811,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Puducherry,2021-22,Aug-2021,GSTR-3,17812,12195,4361,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Manipur,2021-22,Aug-2021,GSTR-3,9750,4211,3014,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Jharkhand,2021-22,Aug-2021,GSTR-1,113722,46373,56653,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Uttar Pradesh,2021-22,Aug-2021,GSTR-1,789854,358126,376958,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Mizoram,2021-22,Aug-2021,GSTR-3,5897,3348,1290,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Daman and Diu,2021-22,Aug-2021,GSTR-1,0,0,0,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Dadra and Nagar Haveli,2021-22,Aug-2021,GSTR-1,11128,7408,3128,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Delhi,2021-22,Aug-2021,GSTR-1,406853,244750,129603,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Tripura,2021-22,Aug-2021,GSTR-3,18513,12524,3994,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Arunachal Pradesh,2021-22,Aug-2021,GSTR-1,10162,1780,5351,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Tamil Nadu,2021-22,Aug-2021,GSTR-3,833879,620339,176493,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Haryana,2021-22,Aug-2021,GSTR-1,263426,157088,85498,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Goa,2021-22,Aug-2021,GSTR-1,24263,9072,10512,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Meghalaya,2021-22,Aug-2021,GSTR-3,16675,9279,3680,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Puducherry,2021-22,Aug-2021,GSTR-1,17812,7610,8485,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Uttarakhand,2021-22,Aug-2021,GSTR-3,80553,54241,21567,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Assam,2021-22,Aug-2021,GSTR-3,116164,69610,36583,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Uttarakhand,2021-22,Aug-2021,GSTR-1,80553,35632,36954,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Chandigarh,2021-22,Aug-2021,GSTR-1,15635,11150,4066,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
West Bengal,2021-22,Aug-2021,GSTR-3,378910,251099,80893,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Maharashtra,2021-22,Aug-2021,GSTR-1,766789,379260,340408,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Andaman and Nicobar Islands,2021-22,Aug-2021,GSTR-3,3265,1781,1205,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Punjab,2021-22,Aug-2021,GSTR-1,162180,111006,39540,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Odisha,2021-22,Aug-2021,GSTR-1,154416,44580,90064,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Jharkhand,2021-22,Aug-2021,GSTR-3,113722,81058,26618,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Rajasthan,2021-22,Aug-2021,GSTR-3,269820,194565,70654,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Andhra Pradesh,2021-22,Aug-2021,GSTR-1,244806,106971,110950,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Odisha,2021-22,Aug-2021,GSTR-3,154416,103700,41665,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Bihar,2021-22,Aug-2021,GSTR-1,263449,67065,153191,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Himachal Pradesh,2021-22,Aug-2021,GSTR-1,44492,22958,18760,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Lakshadweep,2021-22,Aug-2021,GSTR-1,196,71,86,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Chhattisgarh,2021-22,Aug-2021,GSTR-3,74776,44857,25391,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Gujarat,2021-22,Aug-2021,GSTR-1,571583,414903,137312,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Haryana,2021-22,Aug-2021,GSTR-3,263426,184322,61453,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Bihar,2021-22,Aug-2021,GSTR-3,263449,178009,62352,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Madhya Pradesh,2021-22,Aug-2021,GSTR-3,187639,130913,53137,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Jammu and Kashmir,2021-22,Aug-2021,GSTR-1,59030,19710,35105,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
West Bengal,2021-22,Aug-2021,GSTR-1,378910,159245,157606,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Gujarat,2021-22,Aug-2021,GSTR-3,571583,447744,109230,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Manipur,2021-22,Aug-2021,GSTR-1,9750,1515,4845,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Nagaland,2021-22,Aug-2021,GSTR-1,5920,1517,3319,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Daman and Diu,2021-22,Aug-2021,GSTR-3,,,,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Chandigarh,2021-22,Aug-2021,GSTR-3,15635,12275,3122,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Telangana,2021-22,Aug-2021,GSTR-1,327345,114257,155671,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Mizoram,2021-22,Aug-2021,GSTR-1,5897,1071,3324,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Kerala,2021-22,Aug-2021,GSTR-1,259512,133223,107931,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Dadra and Nagar Haveli,2021-22,Aug-2021,GSTR-3,11128,7575,3061,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
Rajasthan,2021-22,Aug-2021,GSTR-1,269820,147729,111323,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021"
West Bengal,2021-22,Dec-2021,GSTR-3,617418,491762,92353,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Puducherry,2021-22,Dec-2021,GSTR-1,20224,10034,8277,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Arunachal Pradesh,2021-22,Dec-2021,GSTR-3,13595,7233,3158,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Telangana,2021-22,Dec-2021,GSTR-3,406157,269419,84154,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Dadra and Nagar Haveli,2021-22,Dec-2021,GSTR-1,14313,9812,3803,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Gujarat,2021-22,Dec-2021,GSTR-3,971221,801500,149087,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Meghalaya,2021-22,Dec-2021,GSTR-3,26317,17360,4859,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Uttarakhand,2021-22,Dec-2021,GSTR-3,148266,112495,27580,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Tamil Nadu,2021-22,Dec-2021,GSTR-3,982238,749425,177032,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Uttarakhand,2021-22,Dec-2021,GSTR-1,148266,70573,64019,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Goa,2021-22,Dec-2021,GSTR-1,36434,16657,14187,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Telangana,2021-22,Dec-2021,GSTR-1,406157,170103,167454,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Assam,2021-22,Dec-2021,GSTR-3,170879,115350,40523,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Kerala,2021-22,Dec-2021,GSTR-3,328683,248292,63464,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Chandigarh,2021-22,Dec-2021,GSTR-1,27141,18974,7442,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Nagaland,2021-22,Dec-2021,GSTR-1,7036,2122,3836,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Andhra Pradesh,2021-22,Dec-2021,GSTR-3,303759,214751,64903,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Arunachal Pradesh,2021-22,Dec-2021,GSTR-1,13595,3163,6547,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Tamil Nadu,2021-22,Dec-2021,GSTR-1,982238,550875,357071,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Jammu and Kashmir,2021-22,Dec-2021,GSTR-3,99346,81067,18218,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Kerala,2021-22,Dec-2021,GSTR-1,328683,187381,118847,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Rajasthan,2021-22,Dec-2021,GSTR-1,633137,359003,240177,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Manipur,2021-22,Dec-2021,GSTR-1,10570,2176,5723,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Punjab,2021-22,Dec-2021,GSTR-1,333129,217555,94542,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Lakshadweep,2021-22,Dec-2021,GSTR-3,218,156,48,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Chandigarh,2021-22,Dec-2021,GSTR-3,27141,22398,4221,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Assam,2021-22,Dec-2021,GSTR-1,170879,58279,86199,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Meghalaya,2021-22,Dec-2021,GSTR-1,26317,6726,12167,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Andaman and Nicobar Islands,2021-22,Dec-2021,GSTR-3,4111,2470,1300,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Jharkhand,2021-22,Dec-2021,GSTR-3,164389,127564,27211,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Sikkim,2021-22,Dec-2021,GSTR-3,8632,5851,1579,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Odisha,2021-22,Dec-2021,GSTR-1,266513,96956,135965,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Ladakh,2021-22,Dec-2021,GSTR-1,5242,1821,2716,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Rajasthan,2021-22,Dec-2021,GSTR-3,633137,495489,115957,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Himachal Pradesh,2021-22,Dec-2021,GSTR-1,95802,46918,44313,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Uttar Pradesh,2021-22,Dec-2021,GSTR-3,1285494,1014620,215213,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Daman and Diu,2021-22,Dec-2021,GSTR-3,,,,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Odisha,2021-22,Dec-2021,GSTR-3,266513,198120,51955,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Goa,2021-22,Dec-2021,GSTR-3,36434,23443,8032,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Madhya Pradesh,2021-22,Dec-2021,GSTR-1,402574,168887,200219,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Gujarat,2021-22,Dec-2021,GSTR-1,971221,737289,208055,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Andhra Pradesh,2021-22,Dec-2021,GSTR-1,303759,142893,129455,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Dadra and Nagar Haveli,2021-22,Dec-2021,GSTR-3,14313,10611,3096,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Lakshadweep,2021-22,Dec-2021,GSTR-1,218,102,94,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Ladakh,2021-22,Dec-2021,GSTR-3,5242,3673,1306,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Chhattisgarh,2021-22,Dec-2021,GSTR-3,126646,87889,31655,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Bihar,2021-22,Dec-2021,GSTR-1,437396,127083,231935,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Chhattisgarh,2021-22,Dec-2021,GSTR-1,126646,51242,62136,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Maharashtra,2021-22,Dec-2021,GSTR-3,1443943,1078746,304432,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Karnataka,2021-22,Dec-2021,GSTR-3,810789,620608,146459,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Mizoram,2021-22,Dec-2021,GSTR-1,6810,1320,4015,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Madhya Pradesh,2021-22,Dec-2021,GSTR-3,402574,313468,78408,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Andaman and Nicobar Islands,2021-22,Dec-2021,GSTR-1,4111,1494,2229,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Nagaland,2021-22,Dec-2021,GSTR-3,7036,4554,1699,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Bihar,2021-22,Dec-2021,GSTR-3,437396,318863,70952,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Manipur,2021-22,Dec-2021,GSTR-3,10570,5830,2959,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Maharashtra,2021-22,Dec-2021,GSTR-1,1443943,826867,520948,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Karnataka,2021-22,Dec-2021,GSTR-1,810789,406193,333060,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Puducherry,2021-22,Dec-2021,GSTR-3,20224,14627,4249,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Jammu and Kashmir,2021-22,Dec-2021,GSTR-1,99346,39266,50776,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Punjab,2021-22,Dec-2021,GSTR-3,333129,270140,47004,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Daman and Diu,2021-22,Dec-2021,GSTR-1,0,0,0,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Mizoram,2021-22,Dec-2021,GSTR-3,6810,4323,1244,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Uttar Pradesh,2021-22,Dec-2021,GSTR-1,1285494,608190,570967,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
West Bengal,2021-22,Dec-2021,GSTR-1,617418,296399,262062,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Haryana,2021-22,Dec-2021,GSTR-3,464263,361115,76960,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Delhi,2021-22,Dec-2021,GSTR-1,730568,500837,190997,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Sikkim,2021-22,Dec-2021,GSTR-1,8632,2939,4306,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Himachal Pradesh,2021-22,Dec-2021,GSTR-3,95802,77048,15699,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Jharkhand,2021-22,Dec-2021,GSTR-1,164389,71456,77546,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Delhi,2021-22,Dec-2021,GSTR-3,730568,586576,109669,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Tripura,2021-22,Dec-2021,GSTR-3,25768,19589,3902,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Tripura,2021-22,Dec-2021,GSTR-1,25768,12152,10636,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Haryana,2021-22,Dec-2021,GSTR-1,464263,292029,142482,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021"
Odisha,2021-22,Feb-2022,GSTR-1,156855,107872,29249,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Haryana,2021-22,Feb-2022,GSTR-1,267720,221849,26416,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Tripura,2021-22,Feb-2022,GSTR-3,18607,13755,3071,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Uttar Pradesh,2021-22,Feb-2022,GSTR-1,829968,639072,120268,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Punjab,2021-22,Feb-2022,GSTR-3,163270,127021,25236,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Jammu and Kashmir,2021-22,Feb-2022,GSTR-3,65133,52148,12820,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Sikkim,2021-22,Feb-2022,GSTR-1,5912,3678,916,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Chhattisgarh,2021-22,Feb-2022,GSTR-1,73978,50208,15298,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Meghalaya,2021-22,Feb-2022,GSTR-3,16133,9240,3129,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Gujarat,2021-22,Feb-2022,GSTR-3,575700,476906,91414,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Puducherry,2021-22,Feb-2022,GSTR-3,17859,13348,3389,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Maharashtra,2021-22,Feb-2022,GSTR-1,793830,622313,110650,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Arunachal Pradesh,2021-22,Feb-2022,GSTR-1,10525,5088,2096,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Haryana,2021-22,Feb-2022,GSTR-3,267720,198828,52022,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Uttarakhand,2021-22,Feb-2022,GSTR-1,82359,61782,11633,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Chhattisgarh,2021-22,Feb-2022,GSTR-3,73978,46293,22464,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Rajasthan,2021-22,Feb-2022,GSTR-1,277009,230238,33157,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Goa,2021-22,Feb-2022,GSTR-1,24769,15508,3911,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Bihar,2021-22,Feb-2022,GSTR-1,272122,167621,47603,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Chandigarh,2021-22,Feb-2022,GSTR-3,15831,12904,2559,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Telangana,2021-22,Feb-2022,GSTR-3,343859,222878,70474,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Assam,2021-22,Feb-2022,GSTR-3,117017,73302,32700,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Sikkim,2021-22,Feb-2022,GSTR-3,5912,3508,1221,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Tamil Nadu,2021-22,Feb-2022,GSTR-3,869274,679334,142054,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Kerala,2021-22,Feb-2022,GSTR-3,270158,201183,51573,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Dadra and Nagar Haveli,2021-22,Feb-2022,GSTR-1,11511,9822,1020,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Tamil Nadu,2021-22,Feb-2022,GSTR-1,869274,714573,91941,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Chandigarh,2021-22,Feb-2022,GSTR-1,15831,14066,1274,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Andaman and Nicobar Islands,2021-22,Feb-2022,GSTR-1,3286,2204,751,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Telangana,2021-22,Feb-2022,GSTR-1,343859,231929,48675,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Jammu and Kashmir,2021-22,Feb-2022,GSTR-1,65133,48258,10027,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Andhra Pradesh,2021-22,Feb-2022,GSTR-1,248925,191200,32968,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Lakshadweep,2021-22,Feb-2022,GSTR-1,172,124,29,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Andhra Pradesh,2021-22,Feb-2022,GSTR-3,248925,181226,48323,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Karnataka,2021-22,Feb-2022,GSTR-3,640933,483677,117478,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Dadra and Nagar Haveli,2021-22,Feb-2022,GSTR-3,11511,8549,2358,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Nagaland,2021-22,Feb-2022,GSTR-1,5997,3928,1025,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
West Bengal,2021-22,Feb-2022,GSTR-3,359943,271828,66370,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Mizoram,2021-22,Feb-2022,GSTR-1,6141,3320,1299,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Delhi,2021-22,Feb-2022,GSTR-1,402569,339890,37557,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Lakshadweep,2021-22,Feb-2022,GSTR-3,172,127,33,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Manipur,2021-22,Feb-2022,GSTR-1,8869,4200,2219,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Punjab,2021-22,Feb-2022,GSTR-1,163270,138158,12011,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Tripura,2021-22,Feb-2022,GSTR-1,18607,13922,2328,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Madhya Pradesh,2021-22,Feb-2022,GSTR-3,189893,138724,45979,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Madhya Pradesh,2021-22,Feb-2022,GSTR-1,189893,144037,31338,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Ladakh,2021-22,Feb-2022,GSTR-3,2322,1525,587,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Meghalaya,2021-22,Feb-2022,GSTR-1,16133,8075,2522,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Mizoram,2021-22,Feb-2022,GSTR-3,6141,3732,1104,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Delhi,2021-22,Feb-2022,GSTR-3,402569,306448,74487,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Maharashtra,2021-22,Feb-2022,GSTR-3,793830,565863,185347,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Nagaland,2021-22,Feb-2022,GSTR-3,5997,3866,1309,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Jharkhand,2021-22,Feb-2022,GSTR-1,119046,88056,18930,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Jharkhand,2021-22,Feb-2022,GSTR-3,119046,84381,26796,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Andaman and Nicobar Islands,2021-22,Feb-2022,GSTR-3,3286,2033,956,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Daman and Diu,2021-22,Feb-2022,GSTR-1,0,0,0,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Karnataka,2021-22,Feb-2022,GSTR-1,640933,504263,77708,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Arunachal Pradesh,2021-22,Feb-2022,GSTR-3,10525,5269,2385,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Ladakh,2021-22,Feb-2022,GSTR-1,2322,1267,453,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Himachal Pradesh,2021-22,Feb-2022,GSTR-1,44164,36439,4868,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
West Bengal,2021-22,Feb-2022,GSTR-1,359943,279038,46299,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Bihar,2021-22,Feb-2022,GSTR-3,272122,178858,55286,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
Uttar Pradesh,2021-22,Feb-2022,GSTR-3,829968,608301,183284,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022"
