srcStateName,srcYear,srcMonth,Central Goods and Services Tax ( CGST ) Revenue,State Goods and Services Tax ( SGST )Revenue,Integrated Goods and Services Tax ( IGST )Revenue,CESS Tax Revenue,YearCode,Year,MonthCode,Month
Gujarat,2020-21,Apr-2020,411.2139736,464.2389989,325.7021397,94.9530029,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Daman and Diu,2020-21,Apr-2020,1.3668049,1.5961272,10.3350777,,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Dadra and Nagar Haveli,2020-21,Apr-2020,4.15482,4.3435671,16.9302207,0.0218812,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Andhra Pradesh,2020-21,Apr-2020,181.9254264,211.9665005,145.5660527,9.3036481,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Maharashtra,2020-21,Apr-2020,1059.9423389,1231.4352533,2256.8695201,38.4763123,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Ladakh,2020-21,Apr-2020,,,,,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Delhi,2020-21,Apr-2020,216.3832188,240.697132,526.2752808,6.5487673,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Karnataka,2020-21,Apr-2020,484.2101358,576.8981296,930.7223841,36.7050415,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Goa,2020-21,Apr-2020,19.07955,24.334853,23.821874,0.0111252,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Jammu and Kashmir,2020-21,Apr-2020,31.5410624,37.1230657,22.404964,0.073886,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Himachal Pradesh,2020-21,Apr-2020,26.4652212,31.5893031,68.8365575,0.0135643,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Punjab,2020-21,Apr-2020,85.1360759,101.9360223,86.2930378,0.1947159,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Chandigarh,2020-21,Apr-2020,8.3465504,9.3367089,22.6354256,0.0139116,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Uttarakhand,2020-21,Apr-2020,49.7875819,61.9474838,141.6287825,3.2618677,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Haryana,2020-21,Apr-2020,211.7200543,253.7999052,1088.9356237,152.1734591,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Lakshadweep,2020-21,Apr-2020,0.2062569,0.2064871,0.0654826,,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Kerala,2020-21,Apr-2020,93.5607855,127.4591101,57.9804401,1.181161,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Tamil Nadu,2020-21,Apr-2020,371.708207,451.0536721,594.5105396,2.7848498,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Puducherry,2020-21,Apr-2020,4.2528704,5.3282696,21.9387078,0.0125968,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Andaman and Nicobar Island,2020-21,Apr-2020,4.0212027,4.5604556,2.5907414,0.0148287,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Madhya Pradesh,2021-22,Apr-2021,745.0157638,970.1357606,796.3118924,538.563414,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Nagaland,2021-22,Apr-2021,19.1335116,24.3795185,7.6228487,0.4652474,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Jharkhand,2021-22,Apr-2021,574.4444719,734.3007111,1103.5934291,543.9254719,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Bihar,2021-22,Apr-2021,440.5354007,675.7251503,227.9459894,164.0026984,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Uttar Pradesh,2021-22,Apr-2021,1746.1196055,2493.7499233,2031.1825106,1083.9468649,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Rajasthan,2021-22,Apr-2021,1044.7484076,1368.7844638,1276.0114513,130.7858527,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Delhi,2021-22,Apr-2021,1146.1035579,1375.8662792,2449.0348941,82.2851724,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Haryana,2021-22,Apr-2021,1038.4580864,1450.9165299,3677.2643073,491.666661,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Puducherry,2021-22,Apr-2021,22.0269511,34.9828438,112.1950362,0.2820301,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Andaman and Nicobar Island,2021-22,Apr-2021,23.9381156,32.0936938,4.5558696,0.0088232,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Dadra and Nagar Haveli,2021-22,Apr-2021,35.7627494,45.5849406,210.7018319,0.0648293,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Tamil Nadu,2021-22,Apr-2021,2294.0297719,3121.7898103,3022.3760961,411.1672554,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Uttarakhand,2021-22,Apr-2021,256.1640116,389.9005607,761.3987239,14.4728605,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Chandigarh,2021-22,Apr-2021,35.2844675,48.9691629,118.2316125,0.8050908,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Punjab,2021-22,Apr-2021,466.4024448,728.6794131,708.4938487,20.5279163,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Himachal Pradesh,2021-22,Apr-2021,142.4073971,196.6962837,423.8690379,0.8732961,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Jammu and Kashmir,2021-22,Apr-2021,150.7951541,244.6316815,109.0159729,4.4157445,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
West Bengal,2021-22,Apr-2021,1624.7251756,2019.5396756,1219.8342961,371.7470419,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Assam,2021-22,Apr-2021,376.4607397,457.3274889,269.0366472,47.7619434,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Maharashtra,2021-22,Apr-2021,5900.2934426,7029.0416244,8012.6710314,1070.6247016,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Kerala,2021-22,Apr-2021,796.3090896,1075.8771366,582.2987563,11.8301519,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Meghalaya,2021-22,Apr-2021,39.6652108,46.3485882,119.6708627,0.4325447,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
